file	kind	text_a	type_a	span_a	text_b	type_b	span_b	pair
1	a_contains_b	metoprolol 25mg po bid	THUỐC	53-75	po bid	TÊN_XÉT_NGHIỆM	69-75	THUỐC ↔ TÊN_XÉT_NGHIỆM
1	a_contains_b	giảm dung nạp gắng sức	TRIỆU_CHỨNG	1423-1445	nạp gắng sức	TÊN_XÉT_NGHIỆM	1433-1445	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
1	partial_overlap	ecg bình	TÊN_XÉT_NGHIỆM	2331-2339	bình thường	KẾT_QUẢ_XÉT_NGHIỆM	2335-2346	KẾT_QUẢ_XÉT_NGHIỆM ↔ TÊN_XÉT_NGHIỆM
2	b_contains_a	xơ gan	TRIỆU_CHỨNG	61-67	xơ gan do rượu	CHẨN_ĐOÁN	61-75	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
2	a_contains_b	xơ gan do rượu	CHẨN_ĐOÁN	61-75	rượu	TRIỆU_CHỨNG	71-75	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
3	b_contains_a	bệnh tim mạch	TRIỆU_CHỨNG	217-230	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	217-250	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
3	a_contains_b	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	217-250	xơ vữa động mạch	TRIỆU_CHỨNG	234-250	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
3	a_contains_b	ước tính mất ý thức có thể trong 30 giây	TRIỆU_CHỨNG	586-626	trong	TÊN_XÉT_NGHIỆM	613-618	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
3	b_contains_a	Thời gian	TÊN_XÉT_NGHIỆM	1068-1077	Thời gian: 30 giây (ước tính)	TRIỆU_CHỨNG	1068-1097	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
3	b_contains_a	Chiếu xạ	TÊN_XÉT_NGHIỆM	1134-1142	Chiếu xạ: N/A	TRIỆU_CHỨNG	1134-1147	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
