file	start	end	text	baseline_candidates	baseline_candidate_terms	baseline_candidate_ttys	safe_ingredient_rxcui	safe_ingredient_term	ingredient_resolution_source	ingredient_conflict	multi_ingredient	has_explicit_strength	strength_low	strength_high	strength_unit	is_strength_range	route	dose_form	explicit_brand	probe_1_candidate	probe_2_candidate	probe_3_candidates
1	53	75	metoprolol 25mg po bid	866924	metoprolol tartrate 25 mg oral tablet	PSN|SCD				False	True	True	25	25	mg	False	oral		False	866924	866924	866924
1	82	93	doxycycline	3640	doxycycline	IN	3640	doxycycline	lexical+baseline	False	False	False				False			False	3640	3640	3640
1	122	130	atenolol	1202	atenolol	IN	1202	atenolol	lexical+baseline	False	False	False				False			False	1202	1202	1202
1	356	364	caffeine	1886	caffeine	IN	1886	caffeine	lexical+baseline	False	False	False				False			False	1886	1886	1886
1	395	403	caffeine	1886	caffeine	IN	1886	caffeine	lexical+baseline	False	False	False				False			False	1886	1886	1886
1	1772	1794	metoprolol 25mg po bid	866924	metoprolol tartrate 25 mg oral tablet	PSN|SCD				False	True	True	25	25	mg	False	oral		False	866924	866924	866924
1	1849	1862	atenololtrong	1202	atenolol	IN	1202	atenolol	baseline_term	False	False	False				False			False	1202	1202	1202
1	2199	2216	aspirin 325mg x 1	198466	aspirin 325 mg oral capsule	PSN|SCD|SY	1191	aspirin	lexical+baseline	False	False	True	325	325	mg	False			False	1191	1191	198466|1191
4	59	64	NSAID							False	False	False				False			False			
4	106	116	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
4	1563	1575	thuốc NSAIDs	37790	tenoxicam	IN	37790	tenoxicam	baseline_term	False	False	False				False			False	37790	37790	37790
4	1596	1607	omeprazole.	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
5	814	823	aspartate	42543	aspartate	IN	42543	aspartate	lexical+baseline	False	False	False				False			False	42543	42543	42543
5	860	867	alanine	426	alanine	IN|SY	426	alanine	lexical+baseline	False	False	False				False			False	426	426	426
5	1360	1368	levophed	227559	levophed	BN				False	False	False				False			True	227559	227559	227559
5	1375	1386	propofol để	8782	propofol	IN	8782	propofol	lexical+baseline	False	False	False				False			False	8782	8782	8782
5	1408	1420	phentolamine	8153	phentolamine	IN	8153	phentolamine	lexical+baseline	False	False	False				False			False	8153	8153	8153
7	190	198	seroquel	83553	seroquel	BN				False	False	False				False			True	83553	83553	83553
9	104	108	iron	90176	iron	IN	90176	iron	lexical+baseline	False	False	False				False			False	90176	90176	90176
11	313	326	pháp lợi tiểu	202999	lopid	BN				False	False	False				False			False	202999	202999	202999
12	876	888	levofloxacin	82122	levofloxacin	IN|TMSY	82122	levofloxacin	lexical+baseline	False	False	False				False			False	82122	82122	82122
13	68	77	corticoid	261486	cortic	BN				False	False	False				False			False	261486	261486	261486
13	317	343	Corticoid liều cao kéo dài	795064	corticool	BN				False	False	False				False			False	795064	795064	795064
13	382	389	bactrim	151399	bactrim	BN				False	False	False				False			True	151399	151399	151399
13	430	441	doxycycline	3640	doxycycline	IN	3640	doxycycline	lexical+baseline	False	False	False				False			False	3640	3640	3640
13	508	517	corticoid	261486	cortic	BN				False	False	False				False			False	261486	261486	261486
13	921	927	cotrim	202796	cotrim	BN				False	False	False				False			True	202796	202796	202796
13	1887	1894	bactrim	151399	bactrim	BN				False	False	False				False			True	151399	151399	151399
13	1898	1909	doxycycline	3640	doxycycline	IN	3640	doxycycline	lexical+baseline	False	False	False				False			False	3640	3640	3640
13	2235	2246	doxycycline	3640	doxycycline	IN	3640	doxycycline	lexical+baseline	False	False	False				False			False	3640	3640	3640
13	2246	2253	bactrim	151399	bactrim	BN				False	False	False				False			True	151399	151399	151399
