file	entity_text	position	current_candidates	multi_score	local_support	top_local_icd_alternatives	section	reason
15	chấn	64-68	S06.0	10	multiple_sibling_or_alternate	"[{""id"": ""F07.2"", ""sim"": 0.75, ""name"": ""Hội chứng sau chấn động não""}, {""id"": ""F43.1"", ""sim"": 0.75, ""name"": ""Rối loạn stress sau sang chấn""}, {""id"": ""G44.3"", ""sim"": 0.75, ""name"": ""Đau đầu mãn tính sau chấn thương""}, {""id"": ""G91.3"", ""sim"": 0.75, ""name"": ""Tràn dịch não sau chấn thương, không đặc hiệu""}, {""id"": ""H26.1"", ""sim"": 0.75, ""name"": ""Đục thể thủy tinh do chấn thương""}]"	Lý do nhập viện: xuất huyết nội sọ không do	multiple_sibling_or_alternate
23	ăng huyết áp	56-68	Z01.3	10	multiple_sibling_or_alternate	"[{""id"": ""I10"", ""sim"": 0.92, ""name"": ""Bệnh lý tăng huyết áp""}, {""id"": ""I11"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp""}, {""id"": ""I11.0"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I11.9"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp, không suy tim (sung huyết)""}, {""id"": ""I12"", ""sim"": 0.92, ""name"": ""Bệnh thận do tăng huyết áp""}]"	Bệnh tim mạch do xơ vữa động mạch.	multiple_sibling_or_alternate
28	u ác	291-295	C25	10	multiple_sibling_or_alternate	"[{""id"": ""B21"", ""sim"": 0.75, ""name"": ""Bệnh HIV gây u ác tính""}, {""id"": ""B21.3"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính khác của tổ chức bạch huyết, tạo máu và tổ chức liên quan""}, {""id"": ""B21.7"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến đa u ác tính""}, {""id"": ""B21.8"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính khác""}, {""id"": ""B21.9"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính không đặc hiệu""}]"	Tiền sử phẫu thuật / thủ thuật: phẫu thuật cắt bỏ tuyến tiền liệt (	multiple_sibling_or_alternate
53	blốc nhĩ thất	171-184	I44.2	10	multiple_sibling_or_alternate	"[{""id"": ""I44"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất và nhánh trái""}, {""id"": ""I44.0"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất độ I""}, {""id"": ""I44.1"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất độ II""}, {""id"": ""I44.2"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất, hoàn toàn""}, {""id"": ""I44.3"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất khác và không xác định""}]"	-	multiple_sibling_or_alternate
99	không biệt định	55-70	Q56.4	10	multiple_sibling_or_alternate	"[{""id"": ""F01.9"", ""sim"": 0.92, ""name"": ""Sa sút trí tuệ, không biệt định""}, {""id"": ""F03"", ""sim"": 0.92, ""name"": ""Sa sút trí tuệ không biệt định""}, {""id"": ""F05.9"", ""sim"": 0.92, ""name"": ""Sảng, không biệt định""}, {""id"": ""F06.9"", ""sim"": 0.92, ""name"": ""Các rối loạn tâm thần không biệt định do tổn thương não và rối loạn chức năng não và bệnh lý cơ thể""}, {""id"": ""F07.9"", ""sim"": 0.92, ""name"": ""Rối loạn nhân cách và hành vi thực thể không biệt định do bệnh não, tổn thương và rối loạn chức năng não""}]"	Bệnh lý mãn tính: rối loạn lo âu,	multiple_sibling_or_alternate
100	U ác của đại tràng	123-141	C17.0	8	multiple_sibling_or_alternate	"[{""id"": ""C18.2"", ""sim"": 0.92, ""name"": ""U ác của đại tràng lên""}, {""id"": ""C18.3"", ""sim"": 0.92, ""name"": ""U ác của đại tràng góc gan""}, {""id"": ""C18.4"", ""sim"": 0.92, ""name"": ""U ác của đại tràng ngang""}, {""id"": ""C18.5"", ""sim"": 0.92, ""name"": ""U ác của đại tràng góc lách""}, {""id"": ""C18.6"", ""sim"": 0.92, ""name"": ""U ác của đại tràng xuống""}]"	-	multiple_sibling_or_alternate
11	bệnh gút	77-85	M10.0	8	multiple_sibling_or_alternate	"[{""id"": ""M10.0"", ""sim"": 0.92, ""name"": ""Bệnh Gút vô căn""}, {""id"": ""M10.1"", ""sim"": 0.92, ""name"": ""Bệnh Gút do ngộ độc chì""}, {""id"": ""M10.2"", ""sim"": 0.92, ""name"": ""Bệnh Gút do thuốc""}, {""id"": ""M10.3"", ""sim"": 0.92, ""name"": ""Bệnh Gút do thương tổn chức năng thận""}, {""id"": ""M10.4"", ""sim"": 0.92, ""name"": ""Bệnh Gút thứ phát khác""}]"	-	multiple_sibling_or_alternate
13	tổn thương	2032-2042	T14.9	8	multiple_sibling_or_alternate	"[{""id"": ""A66.0"", ""sim"": 0.92, ""name"": ""Tổn thương ban đầu của ghẻ cóc""}, {""id"": ""A66.2"", ""sim"": 0.92, ""name"": ""Tổn thương da sớm khác của ghẻ cóc""}, {""id"": ""A66.6"", ""sim"": 0.92, ""name"": ""Tổn thương xương và khớp của ghẻ cóc""}, {""id"": ""A67.0"", ""sim"": 0.92, ""name"": ""Tổn thương tiên phát của pinta""}, {""id"": ""A67.1"", ""sim"": 0.92, ""name"": ""Tổn thương trung gian của pinta""}]"	- dịch tiết có vẻ như mủ từ một số	multiple_sibling_or_alternate
17	bệnh trào ngược dạ dày- thực quản	40-73	K21	8	parent_child_alternatives	"[{""id"": ""K21"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản""}, {""id"": ""K21.0"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản với viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}]"	Bệnh mãn tính:	parent_child_alternatives
20	hở van hai lá	2463-2476	I34.0	8	multiple_sibling_or_alternate	"[{""id"": ""I05.1"", ""sim"": 0.92, ""name"": ""Hở van hai lá do thấp""}, {""id"": ""I05.2"", ""sim"": 0.92, ""name"": ""Hẹp hở van hai lá""}, {""id"": ""Q23.3"", ""sim"": 0.92, ""name"": ""Hở van hai lá bẩm sinh""}]"	- chụp x-quang ngực: mức nước-khí	multiple_sibling_or_alternate
