file	category	reason	start	end	text	type	existing_start	existing_end	existing_text	existing_type
1	A	drug_junk_boundary	1849	1857	atenolol	THUỐC	1849	1862	atenololtrong	THUỐC
16	D	trailing_punct_type_upgrade	2106	2125	tràn dịch màng phổi	CHẨN_ĐOÁN	2106	2126	tràn dịch màng phổi.	TRIỆU_CHỨNG
18	C	diagnosis_span_expand	641	679	bóc tách động mạch chủ Stanford loại B	CHẨN_ĐOÁN	641	672	bóc tách động mạch chủ Stanford	TRIỆU_CHỨNG
19	C	diagnosis_span_expand	115	140	Di căn não vùng trán phải	CHẨN_ĐOÁN	115	135	Di căn não vùng trán	TRIỆU_CHỨNG
19	C	diagnosis_span_expand	167	205	Tắc mạch huyết khối tĩnh mạch chủ dưới	CHẨN_ĐOÁN	167	186	Tắc mạch huyết khối	TRIỆU_CHỨNG
23	D	trailing_punct_type_upgrade	504	542	tụ dịch/tụ máu dưới màng cứng mạn tính	CHẨN_ĐOÁN	504	543	tụ dịch/tụ máu dưới màng cứng mạn tính.	TRIỆU_CHỨNG
23	C	diagnosis_span_expand	752	788	tụ máu ngoài màng cứng phải cấp tính	CHẨN_ĐOÁN	752	779	tụ máu ngoài màng cứng phải	TRIỆU_CHỨNG
24	C	diagnosis_span_expand	58	83	ung thư vú trái giai IIIB	CHẨN_ĐOÁN	58	73	ung thư vú trái	TRIỆU_CHỨNG
24	A	drug_junk_boundary	698	710	levafloxacin	THUỐC	691	710	thuốci levafloxacin	THUỐC
28	D	leading_junk_type_upgrade	62	70	viêm tụy	CHẨN_ĐOÁN	60	70	vìviêm tụy	TRIỆU_CHỨNG
3	B	leading_negation_trim	696	711	đánh trống ngực	TRIỆU_CHỨNG	690	711	Không đánh trống ngực	TRIỆU_CHỨNG
3	B	leading_negation_trim	739	748	chóng mặt	TRIỆU_CHỨNG	733	748	Không chóng mặt	TRIỆU_CHỨNG
3	B	leading_negation_trim	757	765	buồn nôn	TRIỆU_CHỨNG	751	765	Không buồn nôn	TRIỆU_CHỨNG
3	C	diagnosis_span_expand	3336	3364	nhồi máu cơ tim vùng dưới cũ	CHẨN_ĐOÁN	3336	3361	nhồi máu cơ tim vùng dưới	TRIỆU_CHỨNG
32	D	leading_junk_type_upgrade	46	77	Bệnh bạch cầu dòng tủy mãn tính	CHẨN_ĐOÁN	43	77	ho Bệnh bạch cầu dòng tủy mãn tính	TRIỆU_CHỨNG
36	D	trailing_punct_type_upgrade	869	879	bệnh lý BK	CHẨN_ĐOÁN	869	880	bệnh lý BK.	TRIỆU_CHỨNG
37	D	trailing_punct_type_upgrade	176	194	Bệnh thận mạn tính	CHẨN_ĐOÁN	176	195	Bệnh thận mạn tính.	TRIỆU_CHỨNG
4	D	trailing_punct_type_upgrade	1533	1544	viêm dạ dày	CHẨN_ĐOÁN	1533	1545	viêm dạ dày.	TRIỆU_CHỨNG
4	D	trailing_punct_type_upgrade	1706	1718	men gan tăng	CHẨN_ĐOÁN	1706	1719	men gan tăng.	TRIỆU_CHỨNG
4	D	trailing_punct_type_upgrade	1940	1951	viêm dạ dày	CHẨN_ĐOÁN	1940	1952	viêm dạ dày.	TRIỆU_CHỨNG
41	C	diagnosis_span_expand	478	497	Viêm thực quản độ C	CHẨN_ĐOÁN	478	492	Viêm thực quản	CHẨN_ĐOÁN
